2011-03-07 02:20:15 Debug: Notice (8): Use of undefined constant current_user - assumed 'current_user' in [C:\xampp\htdocs\caketourney\views\layouts\default.ctp, line 42]
2011-03-07 02:20:15 Debug: Notice (8): Undefined variable: current_user in [C:\xampp\htdocs\caketourney\views\layouts\default.ctp, line 44]
2011-03-07 02:20:30 Debug: Notice (8): Undefined property: View::$current_user in [C:\xampp\htdocs\caketourney\views\layouts\default.ctp, line 42]
2011-03-07 02:21:10 Debug: Notice (8): Undefined property: View::$current_user in [C:\xampp\htdocs\caketourney\views\layouts\default.ctp, line 42]
2011-03-07 02:21:12 Debug: Notice (8): Undefined property: View::$current_user in [C:\xampp\htdocs\caketourney\views\layouts\default.ctp, line 42]
2011-03-07 02:21:25 Debug: Notice (8): Undefined variable: current_user in [C:\xampp\htdocs\caketourney\views\layouts\default.ctp, line 43]
2011-03-07 02:21:34 Debug: Notice (8): Undefined variable: current_user in [C:\xampp\htdocs\caketourney\views\layouts\default.ctp, line 43]
2011-03-07 02:25:23 Debug: Notice (8): Undefined variable: current_user in [C:\xampp\htdocs\caketourney\controllers\users_controller.php, line 85]
2011-03-07 02:30:40 Debug: Notice (8): Undefined index: Admin in [C:\xampp\htdocs\caketourney\views\users\view.ctp, line 65]
2011-03-07 02:53:28 Debug: Notice (8): Undefined variable: current_user in [C:\xampp\htdocs\caketourney\controllers\users_controller.php, line 117]
2011-03-07 02:54:05 Debug: Notice (8): Undefined variable: current_user in [C:\xampp\htdocs\caketourney\controllers\users_controller.php, line 117]
2011-03-07 02:54:07 Debug: Notice (8): Undefined variable: current_user in [C:\xampp\htdocs\caketourney\controllers\users_controller.php, line 117]
2011-03-07 02:54:34 Debug: Notice (8): Undefined variable: current_user in [C:\xampp\htdocs\caketourney\controllers\users_controller.php, line 117]
2011-03-07 02:54:37 Debug: Notice (8): Undefined variable: current_user in [C:\xampp\htdocs\caketourney\controllers\users_controller.php, line 117]
2011-03-07 02:54:39 Debug: Notice (8): Undefined variable: current_user in [C:\xampp\htdocs\caketourney\controllers\users_controller.php, line 117]
2011-03-07 02:54:54 Debug: Notice (8): Undefined variable: current_user in [C:\xampp\htdocs\caketourney\controllers\users_controller.php, line 117]
2011-03-07 02:55:28 Debug: Notice (8): Undefined variable: current_user in [C:\xampp\htdocs\caketourney\controllers\users_controller.php, line 111]
2011-03-07 02:55:29 Debug: Notice (8): Undefined variable: current_user in [C:\xampp\htdocs\caketourney\controllers\users_controller.php, line 111]
2011-03-07 02:55:48 Debug: Notice (8): Undefined variable: current_user in [C:\xampp\htdocs\caketourney\controllers\users_controller.php, line 111]
2011-03-07 02:55:50 Debug: Notice (8): Undefined variable: current_user in [C:\xampp\htdocs\caketourney\controllers\users_controller.php, line 94]
2011-03-07 02:55:51 Debug: Notice (8): Undefined variable: current_user in [C:\xampp\htdocs\caketourney\controllers\users_controller.php, line 94]
2011-03-07 02:56:29 Debug: Notice (8): Undefined variable: current_user in [C:\xampp\htdocs\caketourney\controllers\users_controller.php, line 111]
2011-03-07 02:56:31 Debug: Notice (8): Undefined variable: current_user in [C:\xampp\htdocs\caketourney\controllers\users_controller.php, line 111]
2011-03-07 02:57:27 Debug: Notice (8): Undefined variable: current_user in [C:\xampp\htdocs\caketourney\controllers\users_controller.php, line 111]
2011-03-07 02:57:27 Debug: Notice (8): Undefined variable: current_user in [C:\xampp\htdocs\caketourney\controllers\users_controller.php, line 113]
2011-03-07 02:57:29 Debug: Notice (8): Undefined variable: current_user in [C:\xampp\htdocs\caketourney\controllers\users_controller.php, line 111]
2011-03-07 02:57:29 Debug: Notice (8): Undefined variable: current_user in [C:\xampp\htdocs\caketourney\controllers\users_controller.php, line 113]
2011-03-07 02:57:29 Debug: Notice (8): Undefined variable: current_user in [C:\xampp\htdocs\caketourney\controllers\users_controller.php, line 111]
2011-03-07 02:57:29 Debug: Notice (8): Undefined variable: current_user in [C:\xampp\htdocs\caketourney\controllers\users_controller.php, line 113]
2011-03-07 03:22:44 Debug: Notice (8): Undefined variable: current_user in [C:\xampp\htdocs\caketourney\controllers\users_controller.php, line 98]
2011-03-07 03:28:29 Debug: Notice (8): Undefined variable: current_user in [C:\xampp\htdocs\caketourney\views\layouts\default.ctp, line 43]
2011-03-07 03:28:40 Debug: Notice (8): Undefined property: TestsController::$Auth in [C:\xampp\htdocs\caketourney\app_controller.php, line 45]
2011-03-07 03:29:10 Debug: Notice (8): Undefined variable: current_user in [C:\xampp\htdocs\caketourney\views\layouts\default.ctp, line 43]
2011-03-07 03:29:12 Debug: Notice (8): Undefined variable: current_user in [C:\xampp\htdocs\caketourney\views\layouts\default.ctp, line 43]
2011-03-07 03:29:13 Debug: Notice (8): Undefined variable: current_user in [C:\xampp\htdocs\caketourney\views\layouts\default.ctp, line 43]
2011-03-07 03:29:26 Debug: Notice (8): Undefined variable: current_user in [C:\xampp\htdocs\caketourney\views\users\edit.ctp, line 13]
2011-03-07 03:29:26 Debug: Notice (8): Undefined variable: current_user in [C:\xampp\htdocs\caketourney\views\layouts\default.ctp, line 43]
2011-03-07 03:30:22 Debug: Notice (8): Undefined variable: current_user in [C:\xampp\htdocs\caketourney\views\users\edit.ctp, line 13]
2011-03-07 03:30:22 Debug: Notice (8): Undefined variable: current_user in [C:\xampp\htdocs\caketourney\views\layouts\default.ctp, line 43]
2011-03-07 03:30:58 Debug: Notice (8): Undefined variable: current_user in [C:\xampp\htdocs\caketourney\views\users\index.ctp, line 34]
2011-03-07 03:30:58 Debug: Notice (8): Undefined variable: current_user in [C:\xampp\htdocs\caketourney\views\users\index.ctp, line 61]
